id,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),LII,BII,AngSep(deg),Theta95(deg),Redshift,SED Class,Log nuSync.(Hz),Log nuSync.Z corr.(Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Flux 1-100 GeV Error,Spectral Index,Spectral Type,Power Law Index,Radio flux(mJy),Radio flag,X Flux(erg cm-2 s-1),USNOVmag,SDSSVmag,ARO,AOX,CLEAN
499,3FGL J0742.4-8133c,SUMSS J074220-813139,, bcu III,115.5880763,-81.52671614,293.8,-24.97,0.032,0.06,0.000,-,0.000,0.000,0.99,0.000,0.000,4.52,0.00000000013134559,7.95e-11,1.4639,PowerLaw,1.46,17.6,wise/sumss,0.000,19.7668,0.000,0.4204,-9.9,Y
500,3FGL J0742.6+5444,GB6 J0742+5444,5BZUJ0742+5444,fsrq,115.6657944,54.74018522,163.03,29.09,0.007,0.022,0.72,ISP,14.5,14.736,1,0.95,0.9,61.62,0.0000000046656736,1.66e-10,2.1307,LogParabola,2.25,281.6328,nvss,9.24e-13,17.5975,0.000,0.5975,1.2235,Y
501,3FGL J0742.6-5623,PMN J0743-5619,5BZQJ0743-5619,fsrq,115.8353509,-56.32582263,268.81,-15.59,0.111,0.329,2.319,LSP,12.47,12.991,0.99,0.85,0.000,6.06,0.00000000033402872,8.02e-11,2.6789,PowerLaw,2.68,669.8,sumss,0.000,19.4356,0.000,0.778,-9.9,N
502,3FGL J0744.3+7434,MS 0737.9+7441,5BZBJ0744+7433,bll,116.0223974,74.56618228,140.26,29.57,0.023,0.052,0.315,HSP,16.928,17.046,1,0.000,0.94,11.91,0.0000000005582057,6.92e-11,1.9692,PowerLaw,1.97,23.4149,nvss,1.36e-11,17.0706,0.000,0.3203,0.9079,Y
503,3FGL J0746.4+2540,B2 0743+25,5BZQJ0746+2549,fsrq,116.6078091,25.81725963,194.58,22.89,0.143,0.158,2.979,LSP,12.2,12.8,0.91,0.81,0.000,10.72,0.00000000034226053,6.86e-11,2.9642,PowerLaw,2.96,427.0859,nvss,8.26e-13,19.4707,19.47,0.7764,0.8934,Y
504,3FGL J0746.6-4756,PMN J0746-4755,, bcu II,116.675583,-47.9153056,261.34,-11.31,0.023,0.039,0.000,HSP,15.3,15.3,1,0.86,0.000,14.61,0.0000000012139683,1.19e-10,2.2543,PowerLaw,2.25,106.7,sumss,0.000,17.5184,0.000,0.4208,1.5021,Y
505,3FGL J0746.9+8511,NVSS J074715+851208,, bcu II,116.8172992,85.20239508,128.21,28.18,0.009,0.048,0.000,HSP,16.28,16.28,1,0.000,0.85,9.66,0.00000000037805709,6.60e-11,1.7873,PowerLaw,1.79,11.4078,nvss,1.18e-12,18.8626,0.000,0.3665,1.1036,Y
506,3FGL J0747.4+0904,RX J0747.3+0905,5BZUJ0747+0905,bll,116.8424667,9.096804139,211.02,16.52,0.038,0.065,0.000,HSP,16.305,16.305,1,0.000,0.88,5.85,0.00000000031103323,7.05e-11,2.0663,PowerLaw,2.07,40.4344,nvss,4.53e-12,17.5492,0.000,0.3836,1.0299,Y
507,3FGL J0748.3+2401,S3 0745+24,5BZQJ0748+2400,fsrq,117.1504553,24.0066972,196.6,22.71,0.055,0.065,0.40985,LSP,12.97,13.119,1,0.93,0.84,9.36,0.00000000058027072,8.46e-11,2.1563,PowerLaw,2.16,958.0938,nvss,3.01e-12,18.3418,18.15,0.757,0.9712,Y
508,3FGL J0748.5+7910,JVAS J0750+7909,, bcu II,117.6802724,79.15472286,134.98,29.38,0.105,0.162,0.000,LSP,12.9,12.9,0.94,0.000,0.000,4.72,0.00000000022183901,5.25e-11,2.3437,PowerLaw,2.34,181.5741,nvss,0.000,0.000,0.000,-9.9,-9.9,Y
